id,input,output,example_id
21," s = ""PAYPALISHIRING"", numRows = 3"," ""PAHNAPLSIIGYIR"""," 1:
"
21," s = ""PAYPALISHIRING"", numRows = 4"," ""PINALSIGYAHRPI"""," 2:
"
21," s = ""A"", numRows = 1"," ""A"""," 3:
"
22," s = ""PAYPALISHIRING"", numRows = 3"," ""PAHNAPLSIIGYIR"""," 1:
"
22," s = ""PAYPALISHIRING"", numRows = 4"," ""PINALSIGYAHRPI"""," 2:
"
22," s = ""A"", numRows = 1"," ""A"""," 3:
"
23," s = ""PAYPALISHIRING"", numRows = 3"," ""PAHNAPLSIIGYIR"""," 1:
"
23," s = ""PAYPALISHIRING"", numRows = 4"," ""PINALSIGYAHRPI"""," 2:
"
23," s = ""A"", numRows = 1"," ""A"""," 3:
"
24, x = 123, 321," 1:
"
24, x = -123, -321," 2:
"
24, x = 120, 21," 3:
"
24, x = 0, 0," 4:
"
25, x = 123, 321," 1:
"
25, x = -123, -321," 2:
"
25, x = 120, 21," 3:
"
25, x = 0, 0," 4:
"
26, x = 123, 321," 1:
"
26, x = -123, -321," 2:
"
26, x = 120, 21," 3:
"
26, x = 0, 0," 4:
"
27, x = 123, 321," 1:
"
27, x = -123, -321," 2:
"
27, x = 120, 21," 3:
"
27, x = 0, 0," 4:
"
28," s = ""42""", 42," 1:
"
28," s = ""   -42""", -42," 2:
"
28," s = ""4193 with words""", 4193," 3:
"
28," s = ""words and 987""", 0," 4:
"
28," s = ""-91283472332""", -2147483648," 5:
"
29," s = ""42""", 42," 1:
"
29," s = ""   -42""", -42," 2:
"
29," s = ""4193 with words""", 4193," 3:
"
29," s = ""words and 987""", 0," 4:
"
29," s = ""-91283472332""", -2147483648," 5:
"
30," s = ""42""", 42," 1:
"
30," s = ""   -42""", -42," 2:
"
30," s = ""4193 with words""", 4193," 3:
"
30," s = ""words and 987""", 0," 4:
"
30," s = ""-91283472332""", -2147483648," 5:
"
31," s = ""42""", 42," 1:
"
31," s = ""   -42""", -42," 2:
"
31," s = ""4193 with words""", 4193," 3:
"
31," s = ""words and 987""", 0," 4:
"
31," s = ""-91283472332""", -2147483648," 5:
"
32, x = 121, true," 1:
"
32, x = -121, false," 2:
"
32, x = 10, false," 3:
"
32, x = -101, false," 4:
"
33, x = 121, true," 1:
"
33, x = -121, false," 2:
"
33, x = 10, false," 3:
"
33, x = -101, false," 4:
"
34, x = 121, true," 1:
"
34, x = -121, false," 2:
"
34, x = 10, false," 3:
"
34, x = -101, false," 4:
"
35, x = 121, true," 1:
"
35, x = -121, false," 2:
"
35, x = 10, false," 3:
"
35, x = -101, false," 4:
"
36," s = ""aa"", p = ""a""", false," 1:
"
36," s = ""aa"", p = ""a*""", true," 2:
"
36," s = ""ab"", p = "".*""", true," 3:
"
36," s = ""aab"", p = ""c*a*b""", true," 4:
"
36," s = ""mississippi"", p = ""mis*is*p*.""", false," 5:
"
37," s = ""aa"", p = ""a""", false," 1:
"
37," s = ""aa"", p = ""a*""", true," 2:
"
37," s = ""ab"", p = "".*""", true," 3:
"
37," s = ""aab"", p = ""c*a*b""", true," 4:
"
37," s = ""mississippi"", p = ""mis*is*p*.""", false," 5:
"
38," s = ""aa"", p = ""a""", false," 1:
"
38," s = ""aa"", p = ""a*""", true," 2:
"
38," s = ""ab"", p = "".*""", true," 3:
"
38," s = ""aab"", p = ""c*a*b""", true," 4:
"
38," s = ""mississippi"", p = ""mis*is*p*.""", false," 5:
"
39," s = ""aa"", p = ""a""", false," 1:
"
39," s = ""aa"", p = ""a*""", true," 2:
"
39," s = ""ab"", p = "".*""", true," 3:
"
39," s = ""aab"", p = ""c*a*b""", true," 4:
"
39," s = ""mississippi"", p = ""mis*is*p*.""", false," 5:
"
40," height = [1,8,6,2,5,4,8,3,7]", 49," 1:
"
40," height = [1,1]", 1," 2:
"
40," height = [4,3,2,1,4]", 16," 3:
"
40," height = [1,2,1]", 2," 4:
"
41," height = [1,8,6,2,5,4,8,3,7]", 49," 1:
"
41," height = [1,1]", 1," 2:
"
41," height = [4,3,2,1,4]", 16," 3:
"
41," height = [1,2,1]", 2," 4:
"
42," height = [1,8,6,2,5,4,8,3,7]", 49," 1:
"
42," height = [1,1]", 1," 2:
"
42," height = [4,3,2,1,4]", 16," 3:
"
42," height = [1,2,1]", 2," 4:
"
43," height = [1,8,6,2,5,4,8,3,7]", 49," 1:
"
43," height = [1,1]", 1," 2:
"
43," height = [4,3,2,1,4]", 16," 3:
"
43," height = [1,2,1]", 2," 4:
"
44, num = 3," ""III"""," 1:
"
44, num = 4," ""IV"""," 2:
"
44, num = 9," ""IX"""," 3:
"
44, num = 58," ""LVIII"""," 4:
"
44, num = 1994," ""MCMXCIV"""," 5:
"
45, num = 3," ""III"""," 1:
"
45, num = 4," ""IV"""," 2:
"
45, num = 9," ""IX"""," 3:
"
45, num = 58," ""LVIII"""," 4:
"
45, num = 1994," ""MCMXCIV"""," 5:
"
46, num = 3," ""III"""," 1:
"
46, num = 4," ""IV"""," 2:
"
46, num = 9," ""IX"""," 3:
"
46, num = 58," ""LVIII"""," 4:
"
46, num = 1994," ""MCMXCIV"""," 5:
"
47, num = 3," ""III"""," 1:
"
47, num = 4," ""IV"""," 2:
"
47, num = 9," ""IX"""," 3:
"
47, num = 58," ""LVIII"""," 4:
"
47, num = 1994," ""MCMXCIV"""," 5:
"
48," s = ""III""", 3," 1:
"
48," s = ""IV""", 4," 2:
"
48," s = ""IX""", 9," 3:
"
48," s = ""LVIII""", 58," 4:
"
48," s = ""MCMXCIV""", 1994," 5:
"
49," s = ""III""", 3," 1:
"
49," s = ""IV""", 4," 2:
"
49," s = ""IX""", 9," 3:
"
49," s = ""LVIII""", 58," 4:
"
49," s = ""MCMXCIV""", 1994," 5:
"
50," s = ""III""", 3," 1:
"
50," s = ""IV""", 4," 2:
"
50," s = ""IX""", 9," 3:
"
50," s = ""LVIII""", 58," 4:
"
50," s = ""MCMXCIV""", 1994," 5:
"
51," s = ""III""", 3," 1:
"
51," s = ""IV""", 4," 2:
"
51," s = ""IX""", 9," 3:
"
51," s = ""LVIII""", 58," 4:
"
51," s = ""MCMXCIV""", 1994," 5:
"
52," strs = [""flower"",""flow"",""flight""]"," ""fl"""," 1:
"
52," strs = [""dog"",""racecar"",""car""]"," """""," 2:
"
53," strs = [""flower"",""flow"",""flight""]"," ""fl"""," 1:
"
53," strs = [""dog"",""racecar"",""car""]"," """""," 2:
"
54," strs = [""flower"",""flow"",""flight""]"," ""fl"""," 1:
"
54," strs = [""dog"",""racecar"",""car""]"," """""," 2:
"
55," strs = [""flower"",""flow"",""flight""]"," ""fl"""," 1:
"
55," strs = [""dog"",""racecar"",""car""]"," """""," 2:
"
56," nums = [-1,0,1,2,-1,-4]"," [[-1,-1,2],[-1,0,1]]"," 1:
"
56, nums = [], []," 2:
"
56, nums = [0], []," 3:
"
57," nums = [-1,0,1,2,-1,-4]"," [[-1,-1,2],[-1,0,1]]"," 1:
"
57, nums = [], []," 2:
"
57, nums = [0], []," 3:
"
58," nums = [-1,0,1,2,-1,-4]"," [[-1,-1,2],[-1,0,1]]"," 1:
"
58, nums = [], []," 2:
"
58, nums = [0], []," 3:
"
59," nums = [-1,0,1,2,-1,-4]"," [[-1,-1,2],[-1,0,1]]"," 1:
"
59, nums = [], []," 2:
"
59, nums = [0], []," 3:
"
60," nums = [-1,2,1,-4], target = 1", 2," 1:
"
61," nums = [-1,2,1,-4], target = 1", 2," 1:
"
62," nums = [-1,2,1,-4], target = 1", 2," 1:
"
63," nums = [-1,2,1,-4], target = 1", 2," 1:
"
64," digits = ""23"""," [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]"," 1:
"
64," digits = """"", []," 2:
"
64," digits = ""2"""," [""a"",""b"",""c""]"," 3:
"
65," digits = ""23"""," [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]"," 1:
"
65," digits = """"", []," 2:
"
65," digits = ""2"""," [""a"",""b"",""c""]"," 3:
"
66," digits = ""23"""," [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]"," 1:
"
66," digits = """"", []," 2:
"
66," digits = ""2"""," [""a"",""b"",""c""]"," 3:
"
67," digits = ""23"""," [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]"," 1:
"
67," digits = """"", []," 2:
"
67," digits = ""2"""," [""a"",""b"",""c""]"," 3:
"
68," nums = [1,0,-1,0,-2,2], target = 0"," [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]"," 1:
"
68," nums = [], target = 0", []," 2:
"
69," nums = [1,0,-1,0,-2,2], target = 0"," [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]"," 1:
"
69," nums = [], target = 0", []," 2:
"
70," nums = [1,0,-1,0,-2,2], target = 0"," [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]"," 1:
"
70," nums = [], target = 0", []," 2:
"
71," nums = [1,0,-1,0,-2,2], target = 0"," [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]"," 1:
"
71," nums = [], target = 0", []," 2:
"
72," head = [1,2,3,4,5], n = 2"," [1,2,3,5]"," 1:
"
72," head = [1], n = 1", []," 2:
"
72," head = [1,2], n = 1", [1]," 3:
"
73," head = [1,2,3,4,5], n = 2"," [1,2,3,5]"," 1:
"
73," head = [1], n = 1", []," 2:
"
73," head = [1,2], n = 1", [1]," 3:
"
74," head = [1,2,3,4,5], n = 2"," [1,2,3,5]"," 1:
"
74," head = [1], n = 1", []," 2:
"
74," head = [1,2], n = 1", [1]," 3:
"
75," head = [1,2,3,4,5], n = 2"," [1,2,3,5]"," 1:
"
75," head = [1], n = 1", []," 2:
"
75," head = [1,2], n = 1", [1]," 3:
"
76," s = ""()""", true," 1:
"
76," s = ""()[]{}""", true," 2:
"
76," s = ""(]""", false," 3:
"
76," s = ""([)]""", false," 4:
"
76," s = ""{[]}""", true," 5:
"
77," s = ""()""", true," 1:
"
77," s = ""()[]{}""", true," 2:
"
77," s = ""(]""", false," 3:
"
77," s = ""([)]""", false," 4:
"
77," s = ""{[]}""", true," 5:
"
78," s = ""()""", true," 1:
"
78," s = ""()[]{}""", true," 2:
"
78," s = ""(]""", false," 3:
"
78," s = ""([)]""", false," 4:
"
78," s = ""{[]}""", true," 5:
"
79," s = ""()""", true," 1:
"
79," s = ""()[]{}""", true," 2:
"
79," s = ""(]""", false," 3:
"
79," s = ""([)]""", false," 4:
"
79," s = ""{[]}""", true," 5:
"
80," l1 = [1,2,4], l2 = [1,3,4]"," [1,1,2,3,4,4]"," 1:
"
80," l1 = [], l2 = []", []," 2:
"
80," l1 = [], l2 = [0]", [0]," 3:
"
81," l1 = [1,2,4], l2 = [1,3,4]"," [1,1,2,3,4,4]"," 1:
"
81," l1 = [], l2 = []", []," 2:
"
81," l1 = [], l2 = [0]", [0]," 3:
"
82," l1 = [1,2,4], l2 = [1,3,4]"," [1,1,2,3,4,4]"," 1:
"
82," l1 = [], l2 = []", []," 2:
"
82," l1 = [], l2 = [0]", [0]," 3:
"
83," l1 = [1,2,4], l2 = [1,3,4]"," [1,1,2,3,4,4]"," 1:
"
83," l1 = [], l2 = []", []," 2:
"
83," l1 = [], l2 = [0]", [0]," 3:
"
84, n = 3," [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]"," 1:
"
84, n = 1," [""()""]"," 2:
"
85, n = 3," [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]"," 1:
"
85, n = 1," [""()""]"," 2:
"
86, n = 3," [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]"," 1:
"
86, n = 1," [""()""]"," 2:
"
87, n = 3," [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]"," 1:
"
87, n = 1," [""()""]"," 2:
"
88," lists = [[1,4,5],[1,3,4],[2,6]]"," [1,1,2,3,4,4,5,6]"," 1:
"
88, lists = [], []," 2:
"
88, lists = [[]], []," 3:
"
89," lists = [[1,4,5],[1,3,4],[2,6]]"," [1,1,2,3,4,4,5,6]"," 1:
"
89, lists = [], []," 2:
"
89, lists = [[]], []," 3:
"
90," lists = [[1,4,5],[1,3,4],[2,6]]"," [1,1,2,3,4,4,5,6]"," 1:
"
90, lists = [], []," 2:
"
90, lists = [[]], []," 3:
"
91," lists = [[1,4,5],[1,3,4],[2,6]]"," [1,1,2,3,4,4,5,6]"," 1:
"
91, lists = [], []," 2:
"
91, lists = [[]], []," 3:
"
92," head = [1,2,3,4]"," [2,1,4,3]"," 1:
"
92, head = [], []," 2:
"
92, head = [1], [1]," 3:
"
93," head = [1,2,3,4]"," [2,1,4,3]"," 1:
"
93, head = [], []," 2:
"
93, head = [1], [1]," 3:
"
94," head = [1,2,3,4]"," [2,1,4,3]"," 1:
"
94, head = [], []," 2:
"
94, head = [1], [1]," 3:
"
95," head = [1,2,3,4]"," [2,1,4,3]"," 1:
"
95, head = [], []," 2:
"
95, head = [1], [1]," 3:
"
96," head = [1,2,3,4,5], k = 2"," [2,1,4,3,5]"," 1:
"
96," head = [1,2,3,4,5], k = 3"," [3,2,1,4,5]"," 2:
"
96," head = [1,2,3,4,5], k = 1"," [1,2,3,4,5]"," 3:
"
96," head = [1], k = 1", [1]," 4:
"
97," head = [1,2,3,4,5], k = 2"," [2,1,4,3,5]"," 1:
"
97," head = [1,2,3,4,5], k = 3"," [3,2,1,4,5]"," 2:
"
97," head = [1,2,3,4,5], k = 1"," [1,2,3,4,5]"," 3:
"
97," head = [1], k = 1", [1]," 4:
"
98," head = [1,2,3,4,5], k = 2"," [2,1,4,3,5]"," 1:
"
98," head = [1,2,3,4,5], k = 3"," [3,2,1,4,5]"," 2:
"
98," head = [1,2,3,4,5], k = 1"," [1,2,3,4,5]"," 3:
"
98," head = [1], k = 1", [1]," 4:
"
99," head = [1,2,3,4,5], k = 2"," [2,1,4,3,5]"," 1:
"
99," head = [1,2,3,4,5], k = 3"," [3,2,1,4,5]"," 2:
"
99," head = [1,2,3,4,5], k = 1"," [1,2,3,4,5]"," 3:
"
99," head = [1], k = 1", [1]," 4:
"
100," nums = [1,1,2]"," 2, nums = [1,2]"," 1:
"
100," nums = [0,0,1,1,1,2,2,3,3,4]"," 5, nums = [0,1,2,3,4]"," 2:
"
101," nums = [1,1,2]"," 2, nums = [1,2]"," 1:
"
101," nums = [0,0,1,1,1,2,2,3,3,4]"," 5, nums = [0,1,2,3,4]"," 2:
"
102," nums = [1,1,2]"," 2, nums = [1,2]"," 1:
"
102," nums = [0,0,1,1,1,2,2,3,3,4]"," 5, nums = [0,1,2,3,4]"," 2:
"
103," nums = [1,1,2]"," 2, nums = [1,2]"," 1:
"
103," nums = [0,0,1,1,1,2,2,3,3,4]"," 5, nums = [0,1,2,3,4]"," 2:
"
104," nums = [3,2,2,3], val = 3"," 2, nums = [2,2]"," 1:
"
104," nums = [0,1,2,2,3,0,4,2], val = 2"," 5, nums = [0,1,4,0,3]"," 2:
"
105," nums = [3,2,2,3], val = 3"," 2, nums = [2,2]"," 1:
"
105," nums = [0,1,2,2,3,0,4,2], val = 2"," 5, nums = [0,1,4,0,3]"," 2:
"
106," nums = [3,2,2,3], val = 3"," 2, nums = [2,2]"," 1:
"
106," nums = [0,1,2,2,3,0,4,2], val = 2"," 5, nums = [0,1,4,0,3]"," 2:
"
107," nums = [3,2,2,3], val = 3"," 2, nums = [2,2]"," 1:
"
107," nums = [0,1,2,2,3,0,4,2], val = 2"," 5, nums = [0,1,4,0,3]"," 2:
"
108," haystack = ""hello"", needle = ""ll""", 2," 1:
"
108," haystack = ""aaaaa"", needle = ""bba""", -1," 2:
"
108," haystack = """", needle = """"", 0," 3:
"
109," haystack = ""hello"", needle = ""ll""", 2," 1:
"
109," haystack = ""aaaaa"", needle = ""bba""", -1," 2:
"
109," haystack = """", needle = """"", 0," 3:
"
110," haystack = ""hello"", needle = ""ll""", 2," 1:
"
110," haystack = ""aaaaa"", needle = ""bba""", -1," 2:
"
110," haystack = """", needle = """"", 0," 3:
"
111," haystack = ""hello"", needle = ""ll""", 2," 1:
"
111," haystack = ""aaaaa"", needle = ""bba""", -1," 2:
"
111," haystack = """", needle = """"", 0," 3:
"
112," dividend = 10, divisor = 3", 3," 1:
"
112," dividend = 7, divisor = -3", -2," 2:
"
112," dividend = 0, divisor = 1", 0," 3:
"
112," dividend = 1, divisor = 1", 1," 4:
"
113," dividend = 10, divisor = 3", 3," 1:
"
113," dividend = 7, divisor = -3", -2," 2:
"
113," dividend = 0, divisor = 1", 0," 3:
"
113," dividend = 1, divisor = 1", 1," 4:
"
114," dividend = 10, divisor = 3", 3," 1:
"
114," dividend = 7, divisor = -3", -2," 2:
"
114," dividend = 0, divisor = 1", 0," 3:
"
114," dividend = 1, divisor = 1", 1," 4:
"
115," dividend = 10, divisor = 3", 3," 1:
"
115," dividend = 7, divisor = -3", -2," 2:
"
115," dividend = 0, divisor = 1", 0," 3:
"
115," dividend = 1, divisor = 1", 1," 4:
"
116," s = ""barfoothefoobarman"", words = [""foo"",""bar""]"," [0,9]"," 1:
"
116," s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""]", []," 2:
"
116," s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""]"," [6,9,12]"," 3:
"
117," s = ""barfoothefoobarman"", words = [""foo"",""bar""]"," [0,9]"," 1:
"
117," s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""]", []," 2:
"
117," s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""]"," [6,9,12]"," 3:
"
118," s = ""barfoothefoobarman"", words = [""foo"",""bar""]"," [0,9]"," 1:
"
118," s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""]", []," 2:
"
118," s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""]"," [6,9,12]"," 3:
"
119," s = ""barfoothefoobarman"", words = [""foo"",""bar""]"," [0,9]"," 1:
"
119," s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""]", []," 2:
"
119," s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""]"," [6,9,12]"," 3:
"
120," nums = [1,2,3]"," [1,3,2]"," 1:
"
120," nums = [3,2,1]"," [1,2,3]"," 2:
"
120," nums = [1,1,5]"," [1,5,1]"," 3:
"
120, nums = [1], [1]," 4:
"
121," nums = [1,2,3]"," [1,3,2]"," 1:
"
121," nums = [3,2,1]"," [1,2,3]"," 2:
"
121," nums = [1,1,5]"," [1,5,1]"," 3:
"
121, nums = [1], [1]," 4:
"
122," nums = [1,2,3]"," [1,3,2]"," 1:
"
122," nums = [3,2,1]"," [1,2,3]"," 2:
"
122," nums = [1,1,5]"," [1,5,1]"," 3:
"
122, nums = [1], [1]," 4:
"
123," nums = [1,2,3]"," [1,3,2]"," 1:
"
123," nums = [3,2,1]"," [1,2,3]"," 2:
"
123," nums = [1,1,5]"," [1,5,1]"," 3:
"
123, nums = [1], [1]," 4:
"
124," s = ""(()""", 2," 1:
"
124," s = "")()())""", 4," 2:
"
124," s = """"", 0," 3:
"
125," s = ""(()""", 2," 1:
"
125," s = "")()())""", 4," 2:
"
125," s = """"", 0," 3:
"
126," s = ""(()""", 2," 1:
"
126," s = "")()())""", 4," 2:
"
126," s = """"", 0," 3:
"
127," s = ""(()""", 2," 1:
"
127," s = "")()())""", 4," 2:
"
127," s = """"", 0," 3:
"
128," nums = [4,5,6,7,0,1,2], target = 0", 4," 1:
"
128," nums = [4,5,6,7,0,1,2], target = 3", -1," 2:
"
128," nums = [1], target = 0", -1," 3:
"
129," nums = [4,5,6,7,0,1,2], target = 0", 4," 1:
"
129," nums = [4,5,6,7,0,1,2], target = 3", -1," 2:
"
129," nums = [1], target = 0", -1," 3:
"
130," nums = [4,5,6,7,0,1,2], target = 0", 4," 1:
"
130," nums = [4,5,6,7,0,1,2], target = 3", -1," 2:
"
130," nums = [1], target = 0", -1," 3:
"
131," nums = [4,5,6,7,0,1,2], target = 0", 4," 1:
"
131," nums = [4,5,6,7,0,1,2], target = 3", -1," 2:
"
131," nums = [1], target = 0", -1," 3:
"
132," nums = [5,7,7,8,8,10], target = 8"," [3,4]"," 1:
"
132," nums = [5,7,7,8,8,10], target = 6"," [-1,-1]"," 2:
"
132," nums = [], target = 0"," [-1,-1]"," 3:
"
133," nums = [5,7,7,8,8,10], target = 8"," [3,4]"," 1:
"
133," nums = [5,7,7,8,8,10], target = 6"," [-1,-1]"," 2:
"
133," nums = [], target = 0"," [-1,-1]"," 3:
"
134," nums = [5,7,7,8,8,10], target = 8"," [3,4]"," 1:
"
134," nums = [5,7,7,8,8,10], target = 6"," [-1,-1]"," 2:
"
134," nums = [], target = 0"," [-1,-1]"," 3:
"
135," nums = [5,7,7,8,8,10], target = 8"," [3,4]"," 1:
"
135," nums = [5,7,7,8,8,10], target = 6"," [-1,-1]"," 2:
"
135," nums = [], target = 0"," [-1,-1]"," 3:
"
136," nums = [1,3,5,6], target = 5", 2," 1:
"
136," nums = [1,3,5,6], target = 2", 1," 2:
"
136," nums = [1,3,5,6], target = 7", 4," 3:
"
136," nums = [1,3,5,6], target = 0", 0," 4:
"
136," nums = [1], target = 0", 0," 5:
"
137," nums = [1,3,5,6], target = 5", 2," 1:
"
137," nums = [1,3,5,6], target = 2", 1," 2:
"
137," nums = [1,3,5,6], target = 7", 4," 3:
"
137," nums = [1,3,5,6], target = 0", 0," 4:
"
137," nums = [1], target = 0", 0," 5:
"
138," nums = [1,3,5,6], target = 5", 2," 1:
"
138," nums = [1,3,5,6], target = 2", 1," 2:
"
138," nums = [1,3,5,6], target = 7", 4," 3:
"
138," nums = [1,3,5,6], target = 0", 0," 4:
"
138," nums = [1], target = 0", 0," 5:
"
139," nums = [1,3,5,6], target = 5", 2," 1:
"
139," nums = [1,3,5,6], target = 2", 1," 2:
"
139," nums = [1,3,5,6], target = 7", 4," 3:
"
139," nums = [1,3,5,6], target = 0", 0," 4:
"
139," nums = [1], target = 0", 0," 5:
"
140," board = [[""5"",""3"",""."",""."",""7"",""."",""."",""."","".""],[""6"",""."",""."",""1"",""9"",""5"",""."",""."","".""],[""."",""9"",""8"",""."",""."",""."",""."",""6"","".""],[""8"",""."",""."",""."",""6"",""."",""."",""."",""3""],[""4"",""."",""."",""8"",""."",""3"",""."",""."",""1""],[""7"",""."",""."",""."",""2"",""."",""."",""."",""6""],[""."",""6"",""."",""."",""."",""."",""2"",""8"","".""],[""."",""."",""."",""4"",""1"",""9"",""."",""."",""5""],[""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]]", true," 1:
"
